Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2004-2008,UHF42,502,4,Stapleton - St. George,18.1,22.1,19.8,25.6,13.2,12.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,503,4,Willowbrook,17.8,24.2,20,20.4,10,10.4,Non-Hodgkin's Lymphomas
2004-2008,UHF42,504,4,South Beach - Tottenville,23.7,29.7,26.3,53.2,25.8,27.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,1,1,Bronx,16.8,24.5,20.2,247.2,118.6,128.6,Non-Hodgkin's Lymphomas
2004-2008,Borough,2,1,Brooklyn,15.8,23.1,18.9,448.2,217.4,230.8,Non-Hodgkin's Lymphomas
2004-2008,Borough,3,1,Manhattan,17.8,30.3,23.3,384,167.6,216.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,4,1,Queens,15.3,21.2,17.8,411,201.6,209.4,Non-Hodgkin's Lymphomas
2004-2008,Borough,5,1,Staten Island,20.5,26.3,22.9,109.2,53.6,55.6,Non-Hodgkin's Lymphomas
2004-2008,Citywide,1,0,New York City,16.5,24.5,20,1599.6,758.8,840.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,1,5,Mott Haven/Hunts Point,13.5,26.8,19.3,22.8,8.8,14,Non-Hodgkin's Lymphomas
2003-2007,Subboro,2,5,Morrisania/East Tremont,17.1,26.4,20.9,23.4,11,12.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,3,5,Highbridge/South Concourse,15.3,25.9,19.9,22,9.4,12.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,4,5,University Heights/Fordham,18.6,20.8,19.5,18.4,10,8.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,5,5,Kingsbridge Heights/Mosholu,18.6,28,22.4,23,10.8,12.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,6,5,Riverdale/Kingsbridge,18,24.2,21,27.4,14.8,12.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,7,5,Soundview/Parkchester,14.1,26.6,19.1,30.8,13.2,17.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,8,5,Throgs Neck/Co-op City,20.2,22.6,21.3,30.8,17.8,13,Non-Hodgkin's Lymphomas
2003-2007,Subboro,9,5,Pelham Parkway,17.8,25.2,21.3,27.8,13.8,14,Non-Hodgkin's Lymphomas
2003-2007,Subboro,10,5,Williamsbridge/Baychester,21.9,20.6,21.6,27.8,16.6,11.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,11,5,Williamsburg/Greenpoint,14.5,18.6,16.5,19.4,9.6,9.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,12,5,Brooklyn Heights/Fort Greene,14.4,20.2,16.7,17,8.4,8.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,13,5,Bedford Stuyvesant,13.4,19.2,15.7,16.4,8.2,8.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,14,5,Bushwick,13,24.2,17.4,15.6,6.8,8.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,15,5,East New York/Starret City,15.1,23.7,18.5,23.6,11.2,12.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,16,5,Park Slope/Carroll Gardens,13.3,25.2,17.8,16.4,7,9.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,17,5,Sunset Park,14.4,24.4,18.5,22.2,9.4,12.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,18,5,N. Crown Heights/Prospect Heights,11.9,24.2,17.1,19,7.8,11.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,19,5,South Crown Heights,17.4,21.3,18.8,19.4,10.8,8.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,20,5,Bay Ridge,17.7,22.8,19.8,28.4,14.4,14,Non-Hodgkin's Lymphomas
2003-2007,Subboro,21,5,Bensonhurst,18.2,19,18.6,39,21.6,17.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,22,5,Borough Park,18.4,22.2,20.2,29.8,15.2,14.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,23,5,Coney Island,18.1,28.8,22.4,37.4,17.6,19.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,24,5,Flatbush,15.8,28.2,21,32.4,14,18.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,25,5,Sheepshead Bay/Gravesend,17.2,25.6,21.1,39.4,19,20.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,26,5,Brownsville/Ocean Hill,14.7,20.1,16.5,15.2,8.4,6.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,27,5,East Flatbush,10.3,16,12.6,17.2,8.2,9,Non-Hodgkin's Lymphomas
2003-2007,Subboro,28,5,Flatlands/Canarsie,14.8,19.8,16.8,31.8,16.4,15.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,29,5,Greenwich Village/Financial District,18.7,26.9,23.3,29.8,13,16.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,30,5,Lower East Side/Chinatown,14.6,24,19.1,34.2,15,19.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,31,5,Chelsea/Clinton/Midtown,17.7,31.8,25.6,35,12,23,Non-Hodgkin's Lymphomas
2003-2007,Subboro,32,5,Stuyvesant Town/Turtle Bay,20.6,37,27.5,47.2,20.6,26.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,33,5,Upper West Side,21.3,31.9,25.7,59.4,28.2,31.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,34,5,Upper East Side,22.5,32.2,26.6,69.6,33.8,35.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,35,5,Morningside Heights/Hamilton Heights,15.8,29.7,21.7,25.4,10.8,14.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,36,5,Central Harlem,13.3,23.2,17.8,19.4,8.4,11,Non-Hodgkin's Lymphomas
2003-2007,Subboro,37,5,East Harlem,16.8,26.8,20.6,22.6,10.8,11.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,38,5,Washington Heights/Inwood,16,24.5,20,39,18.4,20.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,39,5,Astoria,16.2,22,18.9,32.6,16,16.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,40,5,Sunnyside/Woodside,12.6,19.5,15.5,19,8.6,10.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,41,5,Jackson Heights,14.2,21.9,17.2,27.4,12.4,15,Non-Hodgkin's Lymphomas
2003-2007,Subboro,42,5,Elmhurst/Corona,11.4,18.6,14.7,18.6,7.4,11.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,43,5,Middle Village/Ridgewood,18.9,16.8,18.4,32.2,19.2,13,Non-Hodgkin's Lymphomas
2003-2007,Subboro,44,5,Forest Hills/Rego Park,16.7,26.5,20.7,32,15.2,16.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,45,5,Flushing/Whitestone,16.5,19.9,17.9,53.4,27.8,25.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,46,5,Hillcrest/Fresh Meadows,17.2,21.6,19,31.6,15.8,15.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,47,5,Kew Gardens/Woodhaven,12.2,22,16.4,19.8,8,11.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,48,5,Howard Beach/South Ozone Park,16.5,21.4,18.9,23.8,11.8,12,Non-Hodgkin's Lymphomas
2003-2007,Subboro,49,5,Bayside/Little Neck,16.2,22.9,18.8,28.6,13.8,14.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,50,5,Jamaica,10.5,14,12,25.4,12.8,12.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,51,5,Bellerose/Rosedale,16.3,18.8,17.1,34.6,19.2,15.4,Non-Hodgkin's Lymphomas
2003-2007,Subboro,52,5,Rockaways,17.4,19.8,18.5,21.6,12,9.6,Non-Hodgkin's Lymphomas
2003-2007,Subboro,53,5,North Shore,14.8,21.6,17.7,28.2,13,15.2,Non-Hodgkin's Lymphomas
2003-2007,Subboro,54,5,Mid Island,19.9,26.3,22.2,33.4,16.6,16.8,Non-Hodgkin's Lymphomas
2003-2007,Subboro,55,5,South Shore,24.5,30,27.3,44,21.4,22.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,101,4,Kingsbridge - Riverdale,17.3,24.9,20.8,25.2,13.4,11.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,102,4,Northeast Bronx,20.2,21.7,20.9,42.8,25,17.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,103,4,Fordham - Bronx Pk,19.2,26.2,22.4,45.8,22.2,23.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,104,4,Pelham - Throgs Neck,16.3,24.9,20,59,28.4,30.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,105,4,Crotona -Tremont,19.4,22.9,20.9,31.6,16.8,14.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,106,4,High Bridge - Morrisania,14.9,24.2,18.9,30.2,13.6,16.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,107,4,Hunts Point - Mott Haven,11.8,28.4,18.9,20.2,7,13.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,201,4,Greenpoint,12.9,16.4,14.5,16.2,8,8.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,202,4,Downtown - Heights - Slope,13.7,20.4,16.1,32.8,15.6,17.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,13.2,20.7,16.2,45,22,23,Non-Hodgkin's Lymphomas
2003-2007,UHF42,204,4,East New York,14.5,18.2,16.2,23.8,12,11.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,205,4,Sunset Park,12.2,22.5,16.6,17,6.8,10.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,206,4,Borough Park,17.8,22.8,20.1,65.8,33.2,32.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,207,4,East Flatbush - Flatbush,13.5,22.1,16.8,50.4,24.4,26,Non-Hodgkin's Lymphomas
2003-2007,UHF42,208,4,Canarsie - Flatlands,14.5,21.5,17.4,35,17.2,17.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,209,4,Bensonhurst - Bay Ridge,14.7,21,17.2,44.2,21.8,22.4,Non-Hodgkin's Lymphomas
2003-2007,UHF42,210,4,Coney Island - Sheepshead Bay,18.6,26,21.9,83.6,42,41.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,211,4,Williamsburg - Bushwick,12.7,21.7,16.4,26.2,11.6,14.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,301,4,Washington Heights,15.6,24.1,19.5,49.6,22.8,26.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,302,4,Central Harlem - Morningside Heights,13.8,23,17.9,26.6,12,14.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,303,4,East Harlem,17.2,25.5,20.5,21.6,10.4,11.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,304,4,Upper West Side,21.5,34,26.6,66.4,30.6,35.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,305,4,Upper East Side,22.6,34.2,27.5,68.6,32.6,36,Non-Hodgkin's Lymphomas
2003-2007,UHF42,306,4,Chelsea - Clinton,17.5,28.6,23.8,34.2,12.8,21.4,Non-Hodgkin's Lymphomas
2003-2007,UHF42,307,4,Gramercy Park - Murray Hill,19.3,37.5,27.1,41.2,16.8,24.4,Non-Hodgkin's Lymphomas
2003-2007,UHF42,308,4,Greenwich Village - SoHo,18.4,20.8,20.3,18.8,9,9.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,309,4,Union Square - Lower East Side,16.5,26.7,21.2,45.6,20.4,25.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,310,4,Lower Manhattan,11.3,28.6,19.1,6.8,2.2,4.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,401,4,Long Island City - Astoria,14.1,19.9,16.6,36,17,19,Non-Hodgkin's Lymphomas
2003-2007,UHF42,402,4,West Queens,13.7,20.2,16.5,71.6,32.6,39,Non-Hodgkin's Lymphomas
2003-2007,UHF42,403,4,Flushing - Clearview,15.5,19.9,17.3,54.4,27.6,26.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,404,4,Bayside - Little Neck,16.7,23.9,19.4,23.4,11.2,12.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,405,4,Ridgewood - Forest Hills,16.6,20.7,18.4,55.2,29.4,25.8,Non-Hodgkin's Lymphomas
2003-2007,UHF42,406,4,Fresh Meadows,17.7,21.2,19,20.8,10.8,10,Non-Hodgkin's Lymphomas
2003-2007,UHF42,407,4,Southwest Queens,13.4,21.5,17,43.6,19.2,24.4,Non-Hodgkin's Lymphomas
2003-2007,UHF42,408,4,Jamaica,10.9,15.3,12.8,36.8,18.2,18.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,409,4,Southeast Queens,17.7,19.1,18.1,38.4,21.8,16.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,410,4,Rockaways,16.3,19.9,17.8,21.4,11.8,9.6,Non-Hodgkin's Lymphomas
2003-2007,UHF42,501,4,Port Richmond,14.8,25.4,19.1,10.8,4.6,6.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,502,4,Stapleton - St. George,16.7,21.4,18.9,24,12,12,Non-Hodgkin's Lymphomas
2003-2007,UHF42,503,4,Willowbrook,17.7,24.1,19.9,20,9.8,10.2,Non-Hodgkin's Lymphomas
2003-2007,UHF42,504,4,South Beach - Tottenville,23.4,29.4,26.2,51.4,25,26.4,Non-Hodgkin's Lymphomas
2003-2007,Borough,1,1,Bronx,17.9,24.8,20.9,254.6,126.2,128.4,Non-Hodgkin's Lymphomas
2003-2007,Borough,2,1,Brooklyn,15.7,22.8,18.6,440.2,214.2,226,Non-Hodgkin's Lymphomas
2003-2007,Borough,3,1,Manhattan,18.3,30,23.5,383.2,171.4,211.8,Non-Hodgkin's Lymphomas
2003-2007,Borough,4,1,Queens,15.3,20.4,17.5,401.6,200.6,201,Non-Hodgkin's Lymphomas
2003-2007,Borough,5,1,Staten Island,19.7,26.2,22.4,105.6,51,54.6,Non-Hodgkin's Lymphomas
2003-2007,Citywide,1,0,New York City,16.7,24.1,19.9,1585.2,763.4,821.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,1,5,Mott Haven/Hunts Point,13.9,29.9,20.7,23.8,9,14.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,2,5,Morrisania/East Tremont,17.9,25.6,20.9,22.6,11.4,11.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,3,5,Highbridge/South Concourse,15.5,25.4,20.1,22.2,9.4,12.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,4,5,University Heights/Fordham,16.3,19.4,17.4,16.6,8.8,7.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,5,5,Kingsbridge Heights/Mosholu,17.1,29.6,22.2,22.4,9.8,12.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,6,5,Riverdale/Kingsbridge,18.6,25.5,21.8,28.4,15.2,13.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,7,5,Soundview/Parkchester,13.7,28.6,19.5,30.6,12.8,17.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,8,5,Throgs Neck/Co-op City,19.3,24.3,21.4,31,17,14,Non-Hodgkin's Lymphomas
2002-2006,Subboro,9,5,Pelham Parkway,17.8,24.7,21,27.2,13.6,13.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,10,5,Williamsbridge/Baychester,20.2,19.1,19.8,25.6,15.4,10.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,11,5,Williamsburg/Greenpoint,14,17.3,15.4,18.4,9.4,9,Non-Hodgkin's Lymphomas
2002-2006,Subboro,12,5,Brooklyn Heights/Fort Greene,16.7,20.7,18.2,18.6,9.6,9,Non-Hodgkin's Lymphomas
2002-2006,Subboro,13,5,Bedford Stuyvesant,12.9,17.7,15,15.4,7.8,7.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,14,5,Bushwick,12.8,22.7,16.8,15.2,6.6,8.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,15,5,East New York/Starret City,13.6,23.8,17.7,22.4,10,12.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,16,5,Park Slope/Carroll Gardens,13.6,26,18.3,16.8,7.2,9.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,17,5,Sunset Park,14.6,21.5,17.5,20.6,9.4,11.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,18,5,N. Crown Heights/Prospect Heights,10.7,23.7,16.1,18,7,11,Non-Hodgkin's Lymphomas
2002-2006,Subboro,19,5,South Crown Heights,16.3,17.2,16.8,17.6,10.2,7.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,20,5,Bay Ridge,16.8,25.4,20.4,29.6,14.2,15.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,21,5,Bensonhurst,17.1,18.4,17.9,37.6,20.8,16.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,22,5,Borough Park,16.8,22.2,19.2,28.2,13.6,14.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,23,5,Coney Island,16.7,27.9,21.3,35.2,16.2,19,Non-Hodgkin's Lymphomas
2002-2006,Subboro,24,5,Flatbush,15.6,26,20.1,30.8,13.8,17,Non-Hodgkin's Lymphomas
2002-2006,Subboro,25,5,Sheepshead Bay/Gravesend,17.6,23.6,20.5,38.6,19.6,19,Non-Hodgkin's Lymphomas
2002-2006,Subboro,26,5,Brownsville/Ocean Hill,15.8,18.1,16.6,15,8.8,6.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,27,5,East Flatbush,9.6,16.3,12.3,17,7.8,9.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,28,5,Flatlands/Canarsie,14.1,19.7,16.4,31.2,15.6,15.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,29,5,Greenwich Village/Financial District,19.7,27.2,24.1,30.6,13.4,17.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,30,5,Lower East Side/Chinatown,13.5,24.3,18.8,33,13.8,19.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,31,5,Chelsea/Clinton/Midtown,17.7,34.6,26.7,35.8,11.6,24.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,32,5,Stuyvesant Town/Turtle Bay,20.3,36.3,26.9,46.2,20.2,26,Non-Hodgkin's Lymphomas
2002-2006,Subboro,33,5,Upper West Side,19.3,29.1,23.3,53,25,28,Non-Hodgkin's Lymphomas
2002-2006,Subboro,34,5,Upper East Side,21.3,32,25.8,66.6,31.8,34.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,35,5,Morningside Heights/Hamilton Heights,14.6,27.6,19.9,23.2,10,13.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,36,5,Central Harlem,13.1,19.9,16.2,17.6,8.2,9.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,37,5,East Harlem,15.8,31.8,22.2,24.2,10.2,14,Non-Hodgkin's Lymphomas
2002-2006,Subboro,38,5,Washington Heights/Inwood,16.1,22.9,19.2,37.2,18.4,18.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,39,5,Astoria,16.6,23.3,19.6,34,16.4,17.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,40,5,Sunnyside/Woodside,11.5,20.6,15.4,19,7.8,11.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,41,5,Jackson Heights,14.7,21.6,17.8,28.6,12.8,15.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,42,5,Elmhurst/Corona,11.5,19.5,15.3,18.8,7.4,11.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,43,5,Middle Village/Ridgewood,18.4,16.9,18.2,32,19,13,Non-Hodgkin's Lymphomas
2002-2006,Subboro,44,5,Forest Hills/Rego Park,18.3,26,21.7,33.2,16.8,16.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,45,5,Flushing/Whitestone,17.3,19.1,18,53.4,29.2,24.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,46,5,Hillcrest/Fresh Meadows,17.1,20.8,18.7,31.2,16,15.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,47,5,Kew Gardens/Woodhaven,13.5,21.7,17.2,21.2,9,12.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,48,5,Howard Beach/South Ozone Park,16.9,21.4,19.3,24.4,12,12.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,49,5,Bayside/Little Neck,14.2,21.1,16.9,25.6,12,13.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,50,5,Jamaica,10.1,13.6,11.7,24.6,12.4,12.2,Non-Hodgkin's Lymphomas
2002-2006,Subboro,51,5,Bellerose/Rosedale,15.2,19.3,16.6,33.4,17.8,15.6,Non-Hodgkin's Lymphomas
2002-2006,Subboro,52,5,Rockaways,16.6,20.6,18.5,21.4,11.4,10,Non-Hodgkin's Lymphomas
2002-2006,Subboro,53,5,North Shore,14.7,24.4,18.8,29.6,12.8,16.8,Non-Hodgkin's Lymphomas
2002-2006,Subboro,54,5,Mid Island,19.7,27.5,22.7,33.6,16.2,17.4,Non-Hodgkin's Lymphomas
2002-2006,Subboro,55,5,South Shore,24.7,33.6,29,45.6,21.2,24.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,101,4,Kingsbridge - Riverdale,17.9,26.4,21.8,26.2,13.8,12.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,102,4,Northeast Bronx,19.7,22.7,21,42.6,24.2,18.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,103,4,Fordham - Bronx Pk,18.4,27.9,22.5,45.2,21,24.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,104,4,Pelham - Throgs Neck,15.9,26,20.1,58.6,27.4,31.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,105,4,Crotona -Tremont,19,19.3,19.1,28.8,16.4,12.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,106,4,High Bridge - Morrisania,14.5,24.5,18.9,29.4,12.8,16.6,Non-Hodgkin's Lymphomas
2002-2006,UHF42,107,4,Hunts Point - Mott Haven,12.3,31.1,20.1,21.2,7.4,13.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,201,4,Greenpoint,12,16.3,13.8,15.2,7.4,7.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,202,4,Downtown - Heights - Slope,15.2,21.7,17.7,35.2,17,18.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,203,4,Bedford Stuyvesant - Crown Heights,13.6,20.8,16.4,45.4,22.4,23,Non-Hodgkin's Lymphomas
2002-2006,UHF42,204,4,East New York,13.5,18.1,15.5,23,11.2,11.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,205,4,Sunset Park,11.7,22.4,16.1,16.2,6.4,9.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,206,4,Borough Park,16.5,23.2,19.5,63.8,30.8,33,Non-Hodgkin's Lymphomas
2002-2006,UHF42,207,4,East Flatbush - Flatbush,12.4,18.1,14.8,44,21.8,22.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,208,4,Canarsie - Flatlands,14,21.6,17.2,34.2,16.4,17.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,209,4,Bensonhurst - Bay Ridge,14.4,22.9,18,45.4,21.6,23.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,210,4,Coney Island - Sheepshead Bay,18.2,24.2,20.9,79.4,41,38.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,211,4,Williamsburg - Bushwick,13.1,20.6,16.1,24.8,11.6,13.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,301,4,Washington Heights,16,22.1,18.7,46.6,23,23.6,Non-Hodgkin's Lymphomas
2002-2006,UHF42,302,4,Central Harlem - Morningside Heights,13.1,22.5,17.1,25,11.2,13.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,303,4,East Harlem,16.3,30.9,22.4,23.2,9.8,13.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,304,4,Upper West Side,20.1,31.5,24.6,60.2,27.8,32.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,305,4,Upper East Side,21.5,34.3,26.9,66.6,31.2,35.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,306,4,Chelsea - Clinton,18.1,31.7,25.4,35.2,12.6,22.6,Non-Hodgkin's Lymphomas
2002-2006,UHF42,307,4,Gramercy Park - Murray Hill,19.4,37.2,27,40.4,16.4,24,Non-Hodgkin's Lymphomas
2002-2006,UHF42,308,4,Greenwich Village - SoHo,19.1,21.8,21.4,19.2,8.8,10.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,309,4,Union Square - Lower East Side,16.3,27.9,21.7,45.4,19.6,25.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,310,4,Lower Manhattan,9.9,25.3,16.9,5.6,1.8,3.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,401,4,Long Island City - Astoria,14.7,22.2,17.8,38,17.4,20.6,Non-Hodgkin's Lymphomas
2002-2006,UHF42,402,4,West Queens,13.6,20.3,16.7,72,32.2,39.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,403,4,Flushing - Clearview,16.8,18.7,17.5,54.4,29.6,24.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,404,4,Bayside - Little Neck,13.6,22.5,17.2,20.2,9,11.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,405,4,Ridgewood - Forest Hills,17.5,21.3,19.3,57,30.8,26.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,406,4,Fresh Meadows,18.2,22.9,20.1,22,11.2,10.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,407,4,Southwest Queens,14.4,21.4,17.7,45.2,20.4,24.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,408,4,Jamaica,10.9,13.8,12.2,35,18.2,16.8,Non-Hodgkin's Lymphomas
2002-2006,UHF42,409,4,Southeast Queens,16.1,21.2,17.8,37,19.4,17.6,Non-Hodgkin's Lymphomas
2002-2006,UHF42,410,4,Rockaways,16,21,18.3,21.4,11.4,10,Non-Hodgkin's Lymphomas
2002-2006,UHF42,501,4,Port Richmond,10.3,30.7,18.7,10.4,3.2,7.2,Non-Hodgkin's Lymphomas
2002-2006,UHF42,502,4,Stapleton - St. George,17.8,23.7,20.5,25.4,12.4,13,Non-Hodgkin's Lymphomas
2002-2006,UHF42,503,4,Willowbrook,18.4,25.2,20.8,20.4,10,10.4,Non-Hodgkin's Lymphomas
2002-2006,UHF42,504,4,South Beach - Tottenville,24.1,32.7,28.1,53.6,25.4,28.2,Non-Hodgkin's Lymphomas
2002-2006,Borough,1,1,Bronx,17.5,25.5,20.9,251.2,122.6,128.6,Non-Hodgkin's Lymphomas
2002-2006,Borough,2,1,Brooklyn,15.2,22.1,18.1,427.2,207.8,219.4,Non-Hodgkin's Lymphomas
2002-2006,Borough,3,1,Manhattan,17.7,29.6,22.9,369.8,163.4,206.4,Non-Hodgkin's Lymphomas
2002-2006,Borough,4,1,Queens,15.3,20.4,17.6,402.2,200.6,201.6,Non-Hodgkin's Lymphomas
2002-2006,Borough,5,1,Staten Island,19.6,28.7,23.5,109,50.4,58.6,Non-Hodgkin's Lymphomas
