REF_DATE,GEO,DGUID,Statistics (3),Knowledge of languages (324),Single and multiple responses of knowledge of languages (3),SCALAR_FACTOR,SCALAR_ID,COORDINATE,VALUE
2021,Canada,2021A000011124,Count,Cree languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.11.1,87870
2021,Canada,2021A000011124,Count,Cree languages,Single responses of knowledge of languages,units,0,1.1.1.1.11.2,865
2021,Canada,2021A000011124,Count,Cree languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.11.3,87005
2021,Canada,2021A000011124,Count,Ililimowin (Moose Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.12.1,415
2021,Canada,2021A000011124,Count,Ililimowin (Moose Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.12.3,415
2021,Canada,2021A000011124,Count,Inu Ayimun (Southern East Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.13.1,895
2021,Canada,2021A000011124,Count,Inu Ayimun (Southern East Cree),Single responses of knowledge of languages,units,0,1.1.1.1.13.2,25
2021,Canada,2021A000011124,Count,Inu Ayimun (Southern East Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.13.3,870
2021,Canada,2021A000011124,Count,Iyiyiw-Ayimiwin (Northern East Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.14.1,4875
2021,Canada,2021A000011124,Count,Iyiyiw-Ayimiwin (Northern East Cree),Single responses of knowledge of languages,units,0,1.1.1.1.14.2,200
2021,Canada,2021A000011124,Count,Iyiyiw-Ayimiwin (Northern East Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.14.3,4680
2021,Canada,2021A000011124,Count,Nehinawewin (Swampy Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.15.1,4675
2021,Canada,2021A000011124,Count,Nehinawewin (Swampy Cree),Single responses of knowledge of languages,units,0,1.1.1.1.15.2,15
2021,Canada,2021A000011124,Count,Nehinawewin (Swampy Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.15.3,4655
2021,Canada,2021A000011124,Count,Nehiyawewin (Plains Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.16.1,12000
2021,Canada,2021A000011124,Count,Nehiyawewin (Plains Cree),Single responses of knowledge of languages,units,0,1.1.1.1.16.2,30
2021,Canada,2021A000011124,Count,Nehiyawewin (Plains Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.16.3,11970
2021,Canada,2021A000011124,Count,Nihithawiwin (Woods Cree),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.17.1,5110
2021,Canada,2021A000011124,Count,Nihithawiwin (Woods Cree),Single responses of knowledge of languages,units,0,1.1.1.1.17.2,20
2021,Canada,2021A000011124,Count,Nihithawiwin (Woods Cree),Multiple responses of knowledge of languages,units,0,1.1.1.1.17.3,5090
2021,Canada,2021A000011124,Count,"Cree, n.o.s.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.18.1,61000
2021,Canada,2021A000011124,Count,"Cree, n.o.s.",Single responses of knowledge of languages,units,0,1.1.1.1.18.2,565
2021,Canada,2021A000011124,Count,"Cree, n.o.s.",Multiple responses of knowledge of languages,units,0,1.1.1.1.18.3,60430
2021,Canada,2021A000011124,Count,Innu (Montagnais),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.19.1,10740
2021,Canada,2021A000011124,Count,Innu (Montagnais),Single responses of knowledge of languages,units,0,1.1.1.1.19.2,310
2021,Canada,2021A000011124,Count,Innu (Montagnais),Multiple responses of knowledge of languages,units,0,1.1.1.1.19.3,10430
2021,Canada,2021A000011124,Count,Naskapi,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.20.1,1035
2021,Canada,2021A000011124,Count,Naskapi,Single responses of knowledge of languages,units,0,1.1.1.1.20.2,25
2021,Canada,2021A000011124,Count,Naskapi,Multiple responses of knowledge of languages,units,0,1.1.1.1.20.3,1010
2021,Canada,2021A000011124,Count,Eastern Algonquian languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.21.1,10035
2021,Canada,2021A000011124,Count,Eastern Algonquian languages,Single responses of knowledge of languages,units,0,1.1.1.1.21.2,55
2021,Canada,2021A000011124,Count,Eastern Algonquian languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.21.3,9980
2021,Canada,2021A000011124,Count,Mi'kmaq,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.22.1,9240
2021,Canada,2021A000011124,Count,Mi'kmaq,Single responses of knowledge of languages,units,0,1.1.1.1.22.2,55
2021,Canada,2021A000011124,Count,Mi'kmaq,Multiple responses of knowledge of languages,units,0,1.1.1.1.22.3,9185
2021,Canada,2021A000011124,Count,Wolastoqewi (Malecite),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.23.1,820
2021,Canada,2021A000011124,Count,Wolastoqewi (Malecite),Multiple responses of knowledge of languages,units,0,1.1.1.1.23.3,820
2021,Canada,2021A000011124,Count,Ojibway-Potawatomi languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.24.1,42865
2021,Canada,2021A000011124,Count,Ojibway-Potawatomi languages,Single responses of knowledge of languages,units,0,1.1.1.1.24.2,275
2021,Canada,2021A000011124,Count,Ojibway-Potawatomi languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.24.3,42590
2021,Canada,2021A000011124,Count,Anicinabemowin (Algonquin),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.25.1,1955
2021,Canada,2021A000011124,Count,Anicinabemowin (Algonquin),Single responses of knowledge of languages,units,0,1.1.1.1.25.2,10
2021,Canada,2021A000011124,Count,Anicinabemowin (Algonquin),Multiple responses of knowledge of languages,units,0,1.1.1.1.25.3,1945
2021,Canada,2021A000011124,Count,Oji-Cree,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.26.1,15300
2021,Canada,2021A000011124,Count,Oji-Cree,Single responses of knowledge of languages,units,0,1.1.1.1.26.2,135
2021,Canada,2021A000011124,Count,Oji-Cree,Multiple responses of knowledge of languages,units,0,1.1.1.1.26.3,15175
2021,Canada,2021A000011124,Count,Ojibway languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.27.1,26165
2021,Canada,2021A000011124,Count,Ojibway languages,Single responses of knowledge of languages,units,0,1.1.1.1.27.2,140
2021,Canada,2021A000011124,Count,Ojibway languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.27.3,26025
2021,Canada,2021A000011124,Count,Anishinaabemowin (Chippewa),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.28.1,2040
2021,Canada,2021A000011124,Count,Anishinaabemowin (Chippewa),Multiple responses of knowledge of languages,units,0,1.1.1.1.28.3,2035
2021,Canada,2021A000011124,Count,Daawaamwin (Odawa),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.29.1,220
2021,Canada,2021A000011124,Count,Daawaamwin (Odawa),Multiple responses of knowledge of languages,units,0,1.1.1.1.29.3,220
2021,Canada,2021A000011124,Count,Saulteau (Western Ojibway),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.30.1,3630
2021,Canada,2021A000011124,Count,Saulteau (Western Ojibway),Single responses of knowledge of languages,units,0,1.1.1.1.30.2,15
2021,Canada,2021A000011124,Count,Saulteau (Western Ojibway),Multiple responses of knowledge of languages,units,0,1.1.1.1.30.3,3615
2021,Canada,2021A000011124,Count,"Ojibway, n.o.s.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.31.1,20715
2021,Canada,2021A000011124,Count,"Ojibway, n.o.s.",Single responses of knowledge of languages,units,0,1.1.1.1.31.2,120
2021,Canada,2021A000011124,Count,"Ojibway, n.o.s.",Multiple responses of knowledge of languages,units,0,1.1.1.1.31.3,20600
2021,Canada,2021A000011124,Count,"Algonquian languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.32.1,165
2021,Canada,2021A000011124,Count,"Algonquian languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.32.3,165
2021,Canada,2021A000011124,Count,Athabaskan languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.33.1,20390
2021,Canada,2021A000011124,Count,Athabaskan languages,Single responses of knowledge of languages,units,0,1.1.1.1.33.2,175
2021,Canada,2021A000011124,Count,Athabaskan languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.33.3,20220
2021,Canada,2021A000011124,Count,Northern Athabaskan languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.34.1,20135
2021,Canada,2021A000011124,Count,Northern Athabaskan languages,Single responses of knowledge of languages,units,0,1.1.1.1.34.2,170
2021,Canada,2021A000011124,Count,Northern Athabaskan languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.34.3,19970
2021,Canada,2021A000011124,Count,Dakelh (Carrier),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.35.1,1555
2021,Canada,2021A000011124,Count,Dakelh (Carrier),Multiple responses of knowledge of languages,units,0,1.1.1.1.35.3,1550
2021,Canada,2021A000011124,Count,Dane-zaa (Beaver),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.36.1,275
2021,Canada,2021A000011124,Count,Dane-zaa (Beaver),Multiple responses of knowledge of languages,units,0,1.1.1.1.36.3,275
2021,Canada,2021A000011124,Count,"Dene, n.o.s.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.37.1,11555
2021,Canada,2021A000011124,Count,"Dene, n.o.s.",Single responses of knowledge of languages,units,0,1.1.1.1.37.2,85
2021,Canada,2021A000011124,Count,"Dene, n.o.s.",Multiple responses of knowledge of languages,units,0,1.1.1.1.37.3,11470
2021,Canada,2021A000011124,Count,Gwich'in,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.38.1,290
2021,Canada,2021A000011124,Count,Gwich'in,Multiple responses of knowledge of languages,units,0,1.1.1.1.38.3,290
2021,Canada,2021A000011124,Count,Slavey-Hare languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.39.1,2325
2021,Canada,2021A000011124,Count,Slavey-Hare languages,Single responses of knowledge of languages,units,0,1.1.1.1.39.2,20
2021,Canada,2021A000011124,Count,Slavey-Hare languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.39.3,2305
2021,Canada,2021A000011124,Count,Deh Gah Ghotie Zhatie (South Slavey),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.40.1,775
2021,Canada,2021A000011124,Count,Deh Gah Ghotie Zhatie (South Slavey),Multiple responses of knowledge of languages,units,0,1.1.1.1.40.3,770
2021,Canada,2021A000011124,Count,Satuotine Yati (North Slavey),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.41.1,415
2021,Canada,2021A000011124,Count,Satuotine Yati (North Slavey),Multiple responses of knowledge of languages,units,0,1.1.1.1.41.3,410
2021,Canada,2021A000011124,Count,"Slavey, n.o.s.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.42.1,1210
2021,Canada,2021A000011124,Count,"Slavey, n.o.s.",Single responses of knowledge of languages,units,0,1.1.1.1.42.2,10
2021,Canada,2021A000011124,Count,"Slavey, n.o.s.",Multiple responses of knowledge of languages,units,0,1.1.1.1.42.3,1200
2021,Canada,2021A000011124,Count,Tahltan languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.43.1,475
2021,Canada,2021A000011124,Count,Tahltan languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.43.3,475
2021,Canada,2021A000011124,Count,Kaska (Nahani),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.44.1,250
2021,Canada,2021A000011124,Count,Kaska (Nahani),Multiple responses of knowledge of languages,units,0,1.1.1.1.44.3,250
2021,Canada,2021A000011124,Count,Tahltan,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.45.1,235
2021,Canada,2021A000011124,Count,Tahltan,Multiple responses of knowledge of languages,units,0,1.1.1.1.45.3,235
2021,Canada,2021A000011124,Count,Tlicho (Dogrib),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.46.1,2140
2021,Canada,2021A000011124,Count,Tlicho (Dogrib),Single responses of knowledge of languages,units,0,1.1.1.1.46.2,45
2021,Canada,2021A000011124,Count,Tlicho (Dogrib),Multiple responses of knowledge of languages,units,0,1.1.1.1.46.3,2090
2021,Canada,2021A000011124,Count,Tse'khene (Sekani),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.47.1,135
2021,Canada,2021A000011124,Count,Tse'khene (Sekani),Multiple responses of knowledge of languages,units,0,1.1.1.1.47.3,135
2021,Canada,2021A000011124,Count,Tsilhqot'in (Chilcotin),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.48.1,870
2021,Canada,2021A000011124,Count,Tsilhqot'in (Chilcotin),Single responses of knowledge of languages,units,0,1.1.1.1.48.2,10
2021,Canada,2021A000011124,Count,Tsilhqot'in (Chilcotin),Multiple responses of knowledge of languages,units,0,1.1.1.1.48.3,865
2021,Canada,2021A000011124,Count,Tsuu T'ina (Sarsi),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.49.1,175
2021,Canada,2021A000011124,Count,Tsuu T'ina (Sarsi),Multiple responses of knowledge of languages,units,0,1.1.1.1.49.3,175
2021,Canada,2021A000011124,Count,Tutchone languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.50.1,315
2021,Canada,2021A000011124,Count,Tutchone languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.50.3,315
2021,Canada,2021A000011124,Count,Northern Tutchone,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.51.1,140
2021,Canada,2021A000011124,Count,Northern Tutchone,Multiple responses of knowledge of languages,units,0,1.1.1.1.51.3,140
2021,Canada,2021A000011124,Count,Southern Tutchone,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.52.1,140
2021,Canada,2021A000011124,Count,Southern Tutchone,Multiple responses of knowledge of languages,units,0,1.1.1.1.52.3,140
2021,Canada,2021A000011124,Count,"Tutchone, n.o.s.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.53.1,50
2021,Canada,2021A000011124,Count,"Tutchone, n.o.s.",Multiple responses of knowledge of languages,units,0,1.1.1.1.53.3,50
2021,Canada,2021A000011124,Count,Wetsuwet'en-Babine,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.54.1,295
2021,Canada,2021A000011124,Count,Wetsuwet'en-Babine,Multiple responses of knowledge of languages,units,0,1.1.1.1.54.3,295
2021,Canada,2021A000011124,Count,Tlingit,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.55.1,150
2021,Canada,2021A000011124,Count,Tlingit,Multiple responses of knowledge of languages,units,0,1.1.1.1.55.3,150
2021,Canada,2021A000011124,Count,"Athabaskan languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.56.1,115
2021,Canada,2021A000011124,Count,"Athabaskan languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.56.3,115
2021,Canada,2021A000011124,Count,Haida,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.57.1,245
2021,Canada,2021A000011124,Count,Haida,Multiple responses of knowledge of languages,units,0,1.1.1.1.57.3,245
2021,Canada,2021A000011124,Count,Inuktut (Inuit) languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.58.1,42800
2021,Canada,2021A000011124,Count,Inuktut (Inuit) languages,Single responses of knowledge of languages,units,0,1.1.1.1.58.2,3630
2021,Canada,2021A000011124,Count,Inuktut (Inuit) languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.58.3,39170
2021,Canada,2021A000011124,Count,Inuinnaqtun (Inuvialuktun),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.59.1,1140
2021,Canada,2021A000011124,Count,Inuinnaqtun (Inuvialuktun),Single responses of knowledge of languages,units,0,1.1.1.1.59.2,15
2021,Canada,2021A000011124,Count,Inuinnaqtun (Inuvialuktun),Multiple responses of knowledge of languages,units,0,1.1.1.1.59.3,1125
2021,Canada,2021A000011124,Count,Inuinnaqtun,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.60.1,790
2021,Canada,2021A000011124,Count,Inuinnaqtun,Single responses of knowledge of languages,units,0,1.1.1.1.60.2,15
2021,Canada,2021A000011124,Count,Inuinnaqtun,Multiple responses of knowledge of languages,units,0,1.1.1.1.60.3,775
2021,Canada,2021A000011124,Count,Inuvialuktun,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.61.1,350
2021,Canada,2021A000011124,Count,Inuvialuktun,Multiple responses of knowledge of languages,units,0,1.1.1.1.61.3,350
2021,Canada,2021A000011124,Count,Inuktitut,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.62.1,41680
2021,Canada,2021A000011124,Count,Inuktitut,Single responses of knowledge of languages,units,0,1.1.1.1.62.2,3610
2021,Canada,2021A000011124,Count,Inuktitut,Multiple responses of knowledge of languages,units,0,1.1.1.1.62.3,38070
2021,Canada,2021A000011124,Count,"Inuktut (Inuit) languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.63.1,70
2021,Canada,2021A000011124,Count,"Inuktut (Inuit) languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.63.3,70
2021,Canada,2021A000011124,Count,Iroquoian languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.64.1,2055
2021,Canada,2021A000011124,Count,Iroquoian languages,Single responses of knowledge of languages,units,0,1.1.1.1.64.2,15
2021,Canada,2021A000011124,Count,Iroquoian languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.64.3,2045
2021,Canada,2021A000011124,Count,Cayuga,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.65.1,230
2021,Canada,2021A000011124,Count,Cayuga,Single responses of knowledge of languages,units,0,1.1.1.1.65.2,15
2021,Canada,2021A000011124,Count,Cayuga,Multiple responses of knowledge of languages,units,0,1.1.1.1.65.3,220
2021,Canada,2021A000011124,Count,Mohawk,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.66.1,1600
2021,Canada,2021A000011124,Count,Mohawk,Multiple responses of knowledge of languages,units,0,1.1.1.1.66.3,1600
2021,Canada,2021A000011124,Count,Oneida,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.67.1,215
2021,Canada,2021A000011124,Count,Oneida,Multiple responses of knowledge of languages,units,0,1.1.1.1.67.3,215
2021,Canada,2021A000011124,Count,"Iroquoian languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.68.1,65
2021,Canada,2021A000011124,Count,"Iroquoian languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.68.3,65
2021,Canada,2021A000011124,Count,Ktunaxa (Kutenai),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.69.1,210
2021,Canada,2021A000011124,Count,Ktunaxa (Kutenai),Multiple responses of knowledge of languages,units,0,1.1.1.1.69.3,210
2021,Canada,2021A000011124,Count,Michif,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.70.1,1905
2021,Canada,2021A000011124,Count,Michif,Single responses of knowledge of languages,units,0,1.1.1.1.70.2,10
2021,Canada,2021A000011124,Count,Michif,Multiple responses of knowledge of languages,units,0,1.1.1.1.70.3,1895
2021,Canada,2021A000011124,Count,Salish languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.71.1,5305
2021,Canada,2021A000011124,Count,Salish languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.71.3,5305
2021,Canada,2021A000011124,Count,Halkomelem,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.72.1,1415
2021,Canada,2021A000011124,Count,Halkomelem,Multiple responses of knowledge of languages,units,0,1.1.1.1.72.3,1415
2021,Canada,2021A000011124,Count,Lillooet,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.73.1,595
2021,Canada,2021A000011124,Count,Lillooet,Multiple responses of knowledge of languages,units,0,1.1.1.1.73.3,595
2021,Canada,2021A000011124,Count,Ntlakapamux (Thompson),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.74.1,510
2021,Canada,2021A000011124,Count,Ntlakapamux (Thompson),Multiple responses of knowledge of languages,units,0,1.1.1.1.74.3,510
2021,Canada,2021A000011124,Count,Secwepemctsin (Shuswap),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.75.1,1090
2021,Canada,2021A000011124,Count,Secwepemctsin (Shuswap),Multiple responses of knowledge of languages,units,0,1.1.1.1.75.3,1090
2021,Canada,2021A000011124,Count,Squamish,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.76.1,355
2021,Canada,2021A000011124,Count,Squamish,Multiple responses of knowledge of languages,units,0,1.1.1.1.76.3,355
2021,Canada,2021A000011124,Count,Straits,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.77.1,325
2021,Canada,2021A000011124,Count,Straits,Multiple responses of knowledge of languages,units,0,1.1.1.1.77.3,325
2021,Canada,2021A000011124,Count,Syilx (Okanagan),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.78.1,705
2021,Canada,2021A000011124,Count,Syilx (Okanagan),Multiple responses of knowledge of languages,units,0,1.1.1.1.78.3,705
2021,Canada,2021A000011124,Count,"Salish languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.79.1,360
2021,Canada,2021A000011124,Count,"Salish languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.79.3,360
2021,Canada,2021A000011124,Count,Siouan languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.80.1,2960
2021,Canada,2021A000011124,Count,Siouan languages,Single responses of knowledge of languages,units,0,1.1.1.1.80.2,10
2021,Canada,2021A000011124,Count,Siouan languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.80.3,2950
2021,Canada,2021A000011124,Count,Assiniboine,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.81.1,370
2021,Canada,2021A000011124,Count,Assiniboine,Multiple responses of knowledge of languages,units,0,1.1.1.1.81.3,365
2021,Canada,2021A000011124,Count,Dakota,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.82.1,1530
2021,Canada,2021A000011124,Count,Dakota,Multiple responses of knowledge of languages,units,0,1.1.1.1.82.3,1530
2021,Canada,2021A000011124,Count,Stoney,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.83.1,925
2021,Canada,2021A000011124,Count,Stoney,Single responses of knowledge of languages,units,0,1.1.1.1.83.2,10
2021,Canada,2021A000011124,Count,Stoney,Multiple responses of knowledge of languages,units,0,1.1.1.1.83.3,920
2021,Canada,2021A000011124,Count,"Siouan languages, n.i.e.",Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.84.1,320
2021,Canada,2021A000011124,Count,"Siouan languages, n.i.e.",Multiple responses of knowledge of languages,units,0,1.1.1.1.84.3,320
2021,Canada,2021A000011124,Count,Tsimshian languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.85.1,2665
2021,Canada,2021A000011124,Count,Tsimshian languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.85.3,2660
2021,Canada,2021A000011124,Count,Gitxsan (Gitksan),Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.86.1,1140
2021,Canada,2021A000011124,Count,Gitxsan (Gitksan),Multiple responses of knowledge of languages,units,0,1.1.1.1.86.3,1140
2021,Canada,2021A000011124,Count,Nisga'a,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.87.1,1110
2021,Canada,2021A000011124,Count,Nisga'a,Multiple responses of knowledge of languages,units,0,1.1.1.1.87.3,1110
2021,Canada,2021A000011124,Count,Tsimshian,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.88.1,465
2021,Canada,2021A000011124,Count,Tsimshian,Multiple responses of knowledge of languages,units,0,1.1.1.1.88.3,465
