CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,RAM,RAMSAY,CENTRE,BUILT-OUT,INNER CITY,2019,,2158,1135,143,552,476,69,150,19,418,751,94,3,54,50,0,176,0,5,2,0,0,0,0,1123,1021,78,81,33,34,236,240,179,149,72,21,64,89,40,36,232,224,137,107,64,28,142,170,73,70,468,464,316,256,136,49,0,0,0,0,0,0,0,0,0,0,0
Residential,1,REN,RENFREW,CENTRE,BUILT-OUT,INNER CITY,2019,,6582,3479,491,1718,1715,439,285,61,979,1436,286,8,898,491,0,354,0,4,1,1,0,0,0,3235,3338,203,286,85,127,791,728,448,354,154,59,212,305,104,151,817,718,419,352,159,101,415,591,189,278,1608,1446,867,706,313,160,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DNE,DOWNTOWN EAST VILLAGE,CENTRE,BUILT-OUT,CENTRE CITY,2019,,3893,2699,36,589,1081,193,231,32,1158,0,0,1,2680,14,0,0,1,0,0,0,0,3,0,2301,1574,43,16,22,184,698,467,207,263,285,116,41,24,29,135,515,225,160,171,185,89,84,40,51,319,1219,692,367,434,470,205,6,0,0,0,0,6,0,0,0,0,0
Residual Sub Area,4,09H,09H,EAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MRL,MARLBOROUGH,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,9162,3312,795,1878,1529,625,199,79,879,2252,126,0,378,205,0,351,0,0,0,0,0,0,0,4806,4335,323,587,217,284,719,848,643,554,376,255,287,519,215,248,668,695,551,472,430,250,610,1106,432,532,1387,1543,1194,1026,806,505,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CRM,CRESTMONT,WEST,BUILT-OUT,2000s,2019,,1690,673,122,493,273,96,45,41,215,615,42,0,0,16,0,0,0,0,0,0,0,0,0,848,838,76,127,59,26,68,168,168,103,42,11,54,147,44,33,72,197,157,89,33,12,130,274,103,59,140,365,325,192,75,23,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RDL,ROSEDALE,CENTRE,BUILT-OUT,INNER CITY,2019,,1560,625,75,471,421,42,29,22,111,572,0,0,36,4,0,12,0,0,0,0,1,0,0,781,768,32,100,52,29,75,102,108,144,105,34,33,100,53,33,67,111,112,144,82,33,65,200,105,62,142,213,220,288,187,67,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02E,02E,NORTHWEST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06A,06A,WEST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,OAK,OAKRIDGE,SOUTH,BUILT-OUT,1960s/1970s,2019,,5690,2298,404,1910,1506,303,156,39,293,1706,144,1,35,407,0,5,0,0,0,0,0,0,0,2803,2881,145,366,157,132,294,312,380,408,359,250,160,339,120,118,254,370,425,456,394,245,305,705,277,250,548,682,805,864,753,495,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT,2019,,7655,2588,896,2012,1189,529,226,128,516,1839,143,1,138,463,0,4,0,0,0,0,0,0,0,3792,3811,344,640,205,205,583,749,556,336,125,49,329,603,199,163,655,790,546,335,140,51,673,1250,404,374,1245,1545,1108,680,265,100,41,0,7,0,6,7,6,6,9,0,0
Residential,1,VAL,VALLEY RIDGE,WEST,BUILT-OUT,2000s,2019,,5585,1940,404,1742,1040,342,187,121,249,1775,0,0,71,88,0,5,0,0,0,1,0,0,0,2756,2825,139,348,169,142,216,400,421,450,311,160,173,359,163,121,203,430,447,442,306,181,312,707,332,263,419,830,868,892,617,341,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GBK,GLENBROOK,WEST,BUILT-OUT,1950s,2019,,7442,3337,587,1596,1562,452,265,225,833,891,750,2,762,720,0,208,0,0,1,1,0,2,0,3561,3864,233,484,174,227,681,592,438,385,216,131,233,430,195,230,677,670,456,452,245,276,466,914,369,457,1358,1262,894,837,461,407,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,FHI,FOOTHILLS,EAST,N/A,EMPLOYMENT,2019,,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,262,12,0,0,0,40,44,44,46,48,40,0,0,0,0,0,0,12,0,0,0,0,0,0,0,40,44,56,46,48,40,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NHV,NORTH HAVEN,NORTH,BUILT-OUT,1960s/1970s,2019,,2359,1011,122,645,646,130,75,29,131,605,204,1,72,86,0,43,0,0,0,0,0,0,0,1173,1181,67,152,55,67,173,151,133,161,107,107,62,138,37,48,160,157,129,180,124,146,129,290,92,115,333,308,262,341,231,253,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,GBP,GLENDEER BUSINESS PARK,SOUTH,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13C,13C,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT,2019,,6228,2421,728,1744,1017,448,176,108,672,1254,380,0,317,450,0,19,0,0,0,1,0,0,0,2986,3208,272,453,140,117,630,608,384,182,111,89,283,417,144,130,709,614,334,206,148,223,555,876,284,247,1347,1222,724,388,259,312,20,0,6,0,0,8,0,6,0,0,0
Residential,1,HIL,HILLHURST,CENTRE,BUILT-OUT,INNER CITY,2019,,6558,3011,403,1371,1587,210,192,57,965,991,303,107,1352,113,0,133,1,3,3,1,0,4,0,3231,3302,173,282,86,391,720,589,405,337,189,59,182,237,81,311,830,609,432,354,189,77,355,519,167,702,1556,1198,837,691,378,136,6,0,0,0,0,6,0,0,0,0,0
Residential,1,RAN,RANCHLANDS,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,7607,3076,608,1838,1697,498,228,99,552,1467,273,0,285,957,0,94,0,0,0,0,0,0,0,3783,3815,250,507,191,259,685,646,416,441,275,113,226,462,169,205,649,702,442,508,321,131,476,969,360,464,1334,1348,858,949,596,244,0,0,0,0,0,0,0,0,0,0,0
Residential,1,TUS,TUSCANY,NORTHWEST,BUILT-OUT,2000s,2019,,19884,6672,1756,5748,3828,1279,524,259,782,5612,109,6,523,403,0,19,0,0,0,0,0,0,0,9775,10061,647,1990,774,426,995,1680,1795,803,415,250,610,1851,760,410,1097,1931,1760,831,511,300,1257,3855,1534,836,2099,3611,3555,1634,926,550,21,0,14,0,0,7,0,0,0,0,0
Industrial,2,MNI,MANCHESTER INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,2019,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,VAF,VALLEYFIELD,EAST,N/A,EMPLOYMENT,2019,,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09D,09D,CENTRE,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAN,CANYON MEADOWS,SOUTH,BUILT-OUT,1960s/1970s,2019,,7624,3213,482,2379,1809,464,219,78,643,1958,152,0,333,711,0,59,0,0,0,0,0,0,0,3820,3786,190,415,198,229,576,586,486,558,380,202,189,358,198,204,488,573,534,592,426,224,379,773,396,433,1064,1159,1020,1150,806,426,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SIG,SIGNAL HILL,WEST,BUILT-OUT,1980s/1990s,2019,,13395,5187,691,4588,2841,924,352,272,798,3405,413,0,971,387,0,9,0,0,0,2,0,0,0,6337,7009,246,770,442,406,481,662,940,1094,767,529,231,683,431,426,493,780,1055,1235,904,771,477,1453,873,832,974,1453,1995,2338,1680,1300,29,0,0,0,0,0,11,0,9,9,0
Industrial,2,FVI,FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DRN,DEER RUN,SOUTH,BUILT-OUT,1980s/1990s,2019,,5065,2111,311,1641,1362,319,133,53,244,1561,117,0,216,206,0,11,0,0,0,0,0,0,0,2557,2493,149,261,120,145,307,373,312,437,350,103,132,276,101,126,293,364,304,467,336,94,281,537,221,271,600,737,616,911,686,197,7,0,0,0,0,0,0,0,7,0,0
Residential,1,HAM,HAMPTONS,NORTHWEST,BUILT-OUT,2000s,2019,,7382,2484,207,2256,1577,351,168,82,306,2106,160,0,0,215,0,3,0,0,0,0,0,0,0,3636,3697,97,360,271,289,304,294,560,757,478,226,89,326,237,289,256,350,691,766,461,232,186,697,508,578,560,650,1260,1523,939,458,26,0,11,0,0,0,6,9,0,0,0
Residential,1,COU,COUNTRY HILLS,NORTH,BUILT-OUT,1980s/1990s,2019,,3767,1435,227,1121,689,387,127,52,180,979,0,0,200,244,0,12,0,0,0,0,0,0,0,1842,1915,86,230,127,116,222,286,295,244,156,80,107,209,104,122,215,303,316,250,183,106,193,439,231,238,437,589,611,494,339,186,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRE,BRENTWOOD,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,7267,3332,470,1629,1768,345,178,42,996,1979,0,83,912,260,0,97,0,0,1,0,0,0,0,3646,3605,198,348,180,490,646,584,337,362,252,249,167,291,183,536,545,529,370,377,293,314,365,639,363,1026,1191,1113,707,739,545,563,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CHK,CHINOOK PARK,SOUTH,BUILT-OUT,1950s,2019,,1662,588,55,464,382,68,57,19,62,490,0,0,96,0,0,1,0,0,0,1,0,0,0,805,850,41,92,56,53,55,97,100,137,109,65,25,91,54,48,66,110,119,135,87,115,66,183,110,101,121,207,219,272,196,180,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ALT,ALTADORE,CENTRE,BUILT-OUT,INNER CITY,2019,,6942,3285,681,1928,1683,277,218,195,910,1367,633,27,625,462,0,150,0,19,0,0,0,2,0,3394,3535,268,486,162,139,527,714,535,342,159,62,263,472,172,182,631,672,550,337,160,96,531,958,334,321,1158,1386,1085,679,319,158,0,0,0,0,0,0,0,0,0,0,0
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2019,,8576,3875,594,2120,2239,494,199,69,872,2142,515,2,327,549,0,330,0,4,3,1,0,2,0,4591,3965,231,440,201,253,732,767,611,755,403,198,241,405,149,177,653,608,508,609,383,232,472,845,350,430,1385,1375,1119,1364,786,430,0,0,0,0,0,0,0,0,0,0,0
Residential,1,FAI,FAIRVIEW,SOUTH,BUILT-OUT,1950s,2019,,3646,1613,200,1019,860,288,70,50,344,1253,0,0,313,0,0,47,0,0,0,0,0,0,0,1828,1814,106,187,76,106,305,283,254,270,140,101,93,184,70,99,277,330,223,244,147,147,199,371,146,205,582,613,477,514,287,248,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,13823,5012,1784,3966,2249,1089,469,158,1046,3050,50,0,969,921,0,21,0,0,1,0,0,0,0,6963,6828,709,1198,319,304,1471,1560,795,383,174,50,642,1111,323,301,1537,1556,699,406,204,49,1357,2317,642,605,3008,3116,1494,789,378,99,14,6,8,0,0,0,0,0,0,0,0
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,BUILT-OUT,1950s,2019,,1795,648,65,328,330,45,64,35,174,406,0,0,108,132,0,0,0,0,0,1,1,0,0,860,933,36,60,43,58,112,104,80,104,114,149,32,65,30,78,115,112,86,92,166,157,68,125,73,136,227,216,166,196,280,306,0,0,0,0,0,0,0,0,0,0,0
Residential,1,UMR,UPPER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,2019,,2478,1070,131,668,604,83,83,80,220,794,10,0,235,13,0,17,0,0,1,0,0,0,0,1267,1202,55,144,63,80,171,174,168,203,142,67,59,124,56,74,128,178,173,204,133,73,114,268,119,154,299,352,341,407,275,140,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GAG,GARRISON GREEN,WEST,BUILT-OUT,BUILDING OUT,2019,,2060,730,190,468,322,79,72,42,215,262,72,0,252,141,0,1,0,0,0,2,0,0,0,927,1130,76,152,27,29,143,190,111,69,74,56,96,121,37,43,175,211,114,102,114,117,172,273,64,72,318,401,225,171,188,173,0,0,0,0,0,0,0,0,0,0,0
Residential,1,QPK,QUEENS PARK VILLAGE,CENTRE,BUILT-OUT,1950s,2019,,455,188,20,0,112,22,0,6,44,0,0,0,0,188,0,0,0,0,0,0,0,0,0,218,227,25,27,15,17,63,29,17,18,7,0,24,24,8,37,56,38,24,16,0,0,49,51,23,54,119,67,41,34,7,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MOP,MOUNT PLEASANT,CENTRE,BUILT-OUT,INNER CITY,2019,,5889,2831,547,1556,1561,332,205,102,631,1425,739,25,211,114,0,315,0,0,2,0,0,0,0,3022,2839,236,334,111,134,489,639,453,386,166,74,195,303,101,148,491,640,378,325,162,96,437,637,212,282,980,1285,838,711,328,170,19,6,0,0,0,0,6,7,0,0,0
Residential,1,PKL,PARKLAND,SOUTH,BUILT-OUT,1960s/1970s,2019,,3660,1448,138,1349,884,310,114,38,102,1353,10,0,70,14,0,1,0,0,0,0,0,0,0,1819,1830,72,236,107,81,101,209,263,303,293,154,62,217,105,79,93,224,277,307,312,154,134,453,212,160,194,433,540,610,605,308,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PKD,PARKDALE,CENTRE,BUILT-OUT,1950s,2019,,2566,1098,157,601,577,114,55,42,309,471,221,22,198,79,0,103,0,0,0,2,2,0,0,1278,1279,89,102,28,61,213,212,138,214,137,84,72,101,28,53,237,210,135,207,117,119,161,203,56,114,450,422,273,421,254,203,0,0,0,0,0,0,0,0,0,0,0
Residential,1,LPK,LINCOLN PARK,WEST,BUILT-OUT,1950s,2019,,2617,1094,21,324,439,121,56,22,456,0,6,0,816,269,0,0,0,0,0,1,0,2,0,1167,1448,31,71,237,276,128,142,99,43,53,87,23,54,281,281,179,195,102,68,78,187,54,125,518,557,307,337,201,111,131,274,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,BUILT-OUT,1980s/1990s,2019,,1911,848,48,619,397,154,49,26,222,471,96,0,187,93,0,0,0,0,0,1,0,0,0,884,1022,38,73,33,41,79,107,96,150,146,121,36,81,39,43,96,100,111,163,188,165,74,154,72,84,175,207,207,313,334,286,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NGM,NORTH GLENMORE PARK,WEST,BUILT-OUT,1950s,2019,,2391,1022,130,735,575,209,64,35,139,797,125,3,46,5,0,44,0,0,2,0,0,0,0,1205,1171,80,161,66,61,151,177,150,183,95,81,63,109,64,63,138,180,168,163,113,110,143,270,130,124,289,357,318,346,208,191,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,EFI,EASTFIELD,EAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,YKV,YORKVILLE,SOUTH,DEVELOPING,BUILDING OUT,2019,,14,118,0,0,0,0,0,0,114,62,20,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PIN,PINERIDGE,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,10022,3912,911,2221,1993,624,173,129,993,1732,596,0,773,631,0,179,0,0,1,0,0,0,0,5024,4973,337,740,252,311,683,803,618,622,453,205,347,628,278,263,699,727,593,664,491,283,684,1375,530,574,1382,1530,1211,1286,944,488,7,0,7,0,0,0,0,0,0,0,0
Residential,1,MIS,MISSION,CENTRE,BUILT-OUT,INNER CITY,2019,,4598,3479,31,881,1530,277,243,88,1341,73,2,0,3297,49,1,54,0,0,1,2,0,0,0,2202,2273,36,22,13,117,825,478,226,196,180,109,32,36,12,158,929,394,194,170,174,174,68,58,25,281,1829,900,430,366,354,283,119,0,0,0,6,75,28,10,0,0,0
Residential,1,ACA,ACADIA,SOUTH,BUILT-OUT,1960s/1970s,2019,,10520,5046,698,2577,2660,808,303,128,1147,2282,132,1,2026,384,93,123,0,0,2,1,0,2,0,5310,5171,296,477,215,263,877,892,691,776,439,384,243,437,193,239,782,814,642,761,492,568,539,920,408,509,1659,1706,1339,1537,931,952,19,0,6,0,7,0,0,6,0,0,0
Residential,1,GRV,GREENVIEW,CENTRE,BUILT-OUT,1960s/1970s,2019,,1906,1120,159,386,413,83,39,34,538,206,30,0,512,309,0,63,0,0,0,0,0,0,0,970,926,88,71,22,52,201,215,133,96,56,36,66,79,24,51,184,207,100,112,61,42,154,150,46,103,385,422,233,208,117,78,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13M,13M,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PCK,PINE CREEK,SOUTH,DEVELOPING,BUILDING OUT,2019,,14,35,0,0,0,0,0,0,33,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT,2019,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13L,13L,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CHA,CHAPARRAL,SOUTH,DEVELOPING,BUILDING OUT,2019,,12654,4179,922,3674,2184,932,417,183,463,3290,311,0,193,382,0,3,0,0,0,0,0,0,0,6284,6342,336,1147,624,380,545,990,1155,666,297,144,340,1085,508,340,616,1081,1177,658,371,166,676,2232,1132,720,1161,2071,2342,1324,668,310,10,0,0,0,0,0,0,10,0,0,0
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,BUILT-OUT,1950s,2019,,3635,1803,247,877,831,217,97,43,611,831,383,6,127,202,0,249,0,2,1,1,0,1,0,1851,1748,112,168,64,58,332,378,255,236,124,124,131,158,52,72,327,339,236,210,108,115,243,326,116,130,659,717,491,446,232,239,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WWO,WOLF WILLOW,SOUTH,DEVELOPING,BUILDING OUT,2019,,0,21,0,0,0,0,0,0,21,13,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12I,12I,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s,2019,,6889,2508,716,1775,1269,480,176,89,494,1486,82,0,743,184,0,13,0,0,0,0,0,0,0,3459,3419,294,592,193,159,529,633,517,310,180,52,246,575,167,178,570,646,488,307,179,63,540,1167,360,337,1099,1279,1005,617,359,115,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BLN,BELTLINE,CENTRE,BUILT-OUT,CENTRE CITY,2019,,25129,18308,727,3880,7012,1142,1626,316,8207,71,7,8,17771,341,0,45,6,43,2,0,0,14,0,13040,11302,334,281,148,901,5452,3068,1287,821,485,263,305,274,122,1038,4932,2189,931,654,465,392,639,569,270,1949,11015,5342,2237,1482,950,655,766,0,14,0,10,631,85,19,7,0,0
Residual Sub Area,4,12A,12A,SOUTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MAC,MACEWAN GLEN,NORTH,BUILT-OUT,1980s/1990s,2019,,4754,1786,238,1511,1052,359,110,51,214,1515,66,0,0,185,0,20,0,0,0,0,0,0,0,2341,2403,113,282,147,144,260,282,320,462,240,91,117,257,145,132,233,322,369,462,244,122,230,539,292,276,493,604,689,924,484,213,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01B,01B,NORTHWEST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,2019,,255,150,0,126,71,20,14,0,43,0,0,0,0,0,148,0,0,0,0,0,0,2,0,126,103,0,0,0,7,12,15,22,39,19,12,0,8,0,0,9,11,12,41,12,10,0,8,0,7,21,26,34,80,31,22,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PKH,PARKHILL,CENTRE,BUILT-OUT,1950s,2019,,1691,936,75,480,457,52,94,22,311,363,175,0,300,39,0,59,0,0,0,0,0,0,0,846,841,39,64,50,37,198,140,113,106,74,25,45,56,28,73,191,122,135,100,59,32,84,120,78,110,389,262,248,206,133,57,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,BUILT-OUT,1950s,2019,,2036,939,103,531,529,128,60,24,198,611,138,37,16,56,0,80,0,0,1,0,0,0,0,1024,1008,50,118,50,66,153,146,148,164,71,58,52,105,41,75,151,120,144,165,78,77,102,223,91,141,304,266,292,329,149,135,0,0,0,0,0,0,0,0,0,0,0
Residential,1,FHT,FOREST HEIGHTS,EAST,BUILT-OUT,1960s/1970s,2019,,6496,2275,330,1232,1654,215,83,30,293,927,473,0,30,578,0,266,0,0,0,1,0,0,0,3384,3089,171,440,218,208,420,634,486,439,231,137,146,368,192,189,444,515,398,380,236,221,317,808,410,397,864,1149,890,819,467,358,6,0,0,0,0,0,0,6,0,0,0
Residential,1,CSC,CITYSCAPE,NORTHEAST,DEVELOPING,BUILDING OUT,2019,,3104,970,403,706,462,75,37,46,350,695,14,0,1,260,0,0,0,0,0,0,0,0,0,1551,1548,183,261,90,86,295,328,165,79,48,16,147,262,90,84,322,325,151,99,50,18,330,523,180,170,617,653,316,178,98,34,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EAG,EAGLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,2019,,302,110,0,100,51,16,7,21,15,98,0,0,10,0,0,0,0,0,0,1,1,0,0,156,138,7,14,7,12,8,9,23,28,26,22,0,11,11,0,6,12,22,29,29,18,7,25,18,12,14,21,45,57,55,40,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SOV,SOUTHVIEW,EAST,BUILT-OUT,1950s,2019,,1805,837,96,397,454,113,59,15,196,584,26,44,15,52,0,114,1,0,0,1,0,0,0,969,831,44,73,38,42,125,152,160,166,101,68,43,66,33,44,99,118,113,123,102,90,87,139,71,86,224,270,273,289,203,158,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CHV,COUNTRY HILLS VILLAGE,NORTH,BUILT-OUT,2000s,2019,,2597,1352,83,826,664,225,100,120,243,0,0,0,961,389,0,0,0,0,0,2,0,0,0,1175,1414,58,77,40,45,211,202,124,107,156,155,54,83,37,55,195,172,155,154,257,252,112,160,77,100,406,374,279,261,413,407,0,0,0,0,0,0,0,0,0,0,0
